# Results of applying herd to all litmus tests with "exists" conditions.
# 
# herd: 7.56+03, Rev: exported
# herd -model aarch64.cat TEST.litmus 
#
# Tests where "Always" or "Sometimes" with "exists" was observed are marked "Allow".
# Tests where "Never" with "exists" was observed are marked "Forbid".
# Tests where "Always" with "forall" was observed are marked "Allow".
# Tests where "Sometimes" or "Never" with "forall" was observed are marked "Forbid".
# 
# The tests where executed using runall-HERD7.py.
# Date: 230624-04:41

R+po-wsipl+polp-pospa Forbid
R+po-wsipl+polp-rfipa Forbid
R+po-wsipl+rfilp-ctrlpa Forbid
R+po-wsipl+rfilp-popa Forbid
R+po-wsipl+wsilp-popa Forbid
R+po-wsi-popl+pola Forbid
R+po-wsi-popl+rfila Forbid
R+rfi-addr-ctrlpl+pola Forbid
R+rfi-addr-ctrlpl+rfila Forbid
R+rfi-addr-datapl+pola Forbid
R+rfi-addr-datapl+rfila Forbid
R+rfi-addr-fripl+pola Forbid
R+rfi-addr-popl+pola Forbid
R+rfi-addr-popl+rfila Forbid
R+rfi-ctrl-ctrlpl+pola Forbid
R+rfi-ctrl-ctrlpl+rfila Forbid
R+rfi-ctrl-datapl+pola Forbid
R+rfi-ctrl-datapl+rfila Forbid
R+rfi-ctrl-fripl+pola Forbid
R+rfi-ctrlpl+pola Forbid
R+rfi-ctrlpl+polp-ctrlpa Forbid
R+rfi-ctrlpl+polp-popa001 Forbid
R+rfi-ctrlpl+polp-popa Forbid
R+rfi-ctrlpl+polp-pospa Forbid
R+rfi-ctrlpl+polp-rfipa Forbid
R+rfi-ctrlpl+rfilp-ctrlpa Forbid
R+rfi-ctrlpl+rfilp-popa Forbid
R+rfi-ctrlpl+wsilp-popa Forbid
R+rfi-ctrl-popl+pola001 Forbid
R+rfi-ctrl-popl+pola Forbid
R+rfi-ctrl-popl+rfila001 Forbid
R+rfi-ctrl-popl+rfila Forbid
R+rfi-ctrl-wsipl+pola Forbid
R+rfi-datapl+pola Forbid
R+rfi-datapl+polp-ctrlpa Forbid
R+rfi-datapl+polp-popa001 Forbid
R+rfi-datapl+polp-popa Forbid
R+rfi-datapl+polp-pospa Forbid
R+rfi-datapl+polp-rfipa Forbid
R+rfi-datapl+rfilp-ctrlpa Forbid
R+rfi-datapl+rfilp-popa Forbid
R+rfi-datapl+wsilp-popa Forbid
R+rfi-data-popl+pola Forbid
R+rfi-data-popl+rfila Forbid
R+rfi-data-wsipl+pola Forbid
R+rfi-po-ctrlpl+pola Forbid
R+rfi-po-ctrlpl+rfila Forbid
R+rfi-po-datapl+pola Forbid
R+rfi-po-datapl+rfila Forbid
R+rfi-po-fripl+pola Forbid
R+rfi-popl+pola Forbid
R+rfi-popl+polp-ctrlpa Forbid
R+rfi-popl+polp-popa001 Forbid
R+rfi-popl+polp-popa Forbid
R+rfi-popl+polp-pospa Forbid
R+rfi-popl+polp-rfipa Forbid
R+rfi-popl+rfilp-ctrlpa Forbid
R+rfi-popl+rfilp-popa Forbid
R+rfi-popl+wsilp-popa Forbid
R+rfi-po-popl+pola001 Forbid
R+rfi-po-popl+pola Forbid
R+rfi-po-popl+rfila001 Forbid
R+rfi-po-popl+rfila Forbid
R+rfi-pos-ctrlpl+pola Forbid
R+rfi-pos-datapl+pola Forbid
R+rfi-pos-popl+pola Forbid
R+rfi-po-wsipl+pola Forbid
R+wsipl+polp-addr-ctrlpa Forbid
R+wsipl+polp-addr-popa Forbid
R+wsipl+polp-addr-pospa Forbid
R+wsipl+polp-ctrlpa Forbid
R+wsipl+polp-ctrl-popa001 Forbid
R+wsipl+polp-ctrl-popa Forbid
R+wsipl+polp-ctrl-pospa Forbid
R+wsipl+polp-ctrl-rfipa Forbid
R+wsipl+polp-data-popa Forbid
R+wsipl+polp-data-rfipa Forbid
R+wsipl+polp-fri-popa Forbid
R+wsipl+polp-po-ctrlpa001 Forbid
R+wsipl+polp-po-ctrlpa Forbid
R+wsipl+polp-popa001 Forbid
R+wsipl+polp-popa Forbid
R+wsipl+polp-po-popa001 Forbid
R+wsipl+polp-po-popa Forbid
R+wsipl+polp-po-pospa001 Forbid
R+wsipl+polp-po-pospa Forbid
R+wsipl+polp-po-rfipa Forbid
R+wsipl+polp-pos-ctrlpa Forbid
R+wsipl+polp-pos-popa Forbid
R+wsipl+polp-rfi-ctrlpa Forbid
R+wsipl+polp-rfi-popa Forbid
R+wsipl+polp-wsi-popa Forbid
R+wsipl+rfilp-addr-ctrlpa Forbid
R+wsipl+rfilp-addr-popa Forbid
R+wsipl+rfilp-ctrl-popa001 Forbid
R+wsipl+rfilp-ctrl-popa Forbid
R+wsipl+rfilp-data-popa Forbid
R+wsipl+rfilp-po-ctrlpa Forbid
R+wsipl+rfilp-po-popa Forbid
R+wsipl+wsilp-po-ctrlpa Forbid
R+wsipl+wsilp-po-popa001 Forbid
R+wsipl+wsilp-po-popa Forbid
R+wsi-po-ctrlpl+pola Forbid
R+wsi-po-ctrlpl+rfila Forbid
R+wsi-po-datapl+pola Forbid
R+wsi-po-datapl+rfila Forbid
R+wsi-po-fripl+pola Forbid
R+wsi-popl+pola Forbid
R+wsi-popl+polp-ctrlpa Forbid
R+wsi-popl+polp-popa001 Forbid
R+wsi-popl+polp-popa Forbid
R+wsi-popl+polp-pospa Forbid
R+wsi-popl+polp-rfipa Forbid
R+wsi-popl+rfilp-ctrlpa Forbid
R+wsi-popl+rfilp-popa Forbid
R+wsi-popl+wsilp-popa Forbid
R+wsi-po-popl+pola Forbid
R+wsi-po-popl+rfila Forbid
R+wsi-po-wsipl+pola Forbid
R+wsi-rfi-ctrlpl+pola Forbid
R+wsi-rfi-datapl+pola Forbid
R+wsi-rfi-popl+pola Forbid
LB+data+addr-pos-fri Forbid
LB+data+ctrl-pos-fri Forbid
LB+data+addr-fri Forbid
LB+data+pos-addr-fri Forbid
LB+data+ctrl-addr-fri Forbid
LB+data+ctrl-fri Forbid
LB+data+pos-ctrl-fri Forbid
LB+data+addr-ctrl-fri Forbid
LB+data+addr-wsi Forbid
LB+data+pos-addr-wsi Forbid
LB+data+addr-addr-wsi Forbid
LB+data+ctrl-addr-wsi Forbid
LB+data+pos-data-wsi Forbid
LB+data+addr-data-wsi Forbid
LB+data+ctrl-data-wsi Forbid
LB+data+ctrl-wsi Forbid
LB+data+pos-ctrl-wsi Forbid
LB+data+addr-ctrl-wsi Forbid
LB+data+ctrl-ctrl-wsi Forbid
LB+addr+data Forbid
LB+data+fri-rfi-addr Allow
LB+data+addr-rfi-addr Forbid
LB+data+data-rfi-addr Forbid
LB+data+ctrl-rfi-addr Forbid
LB+data+pos-addr Forbid
LB+data+addr-pos-addr Forbid
LB+data+ctrl-pos-addr Forbid
LB+data+addr-addr Forbid
LB+data+pos-addr-addr Forbid
LB+data+ctrl-addr-addr Forbid
LB+data+ctrl-addr Forbid
LB+data+pos-ctrl-addr Forbid
LB+data+addr-ctrl-addr Forbid
LB+data+fri-rfi-data Allow
LB+data+addr-rfi-data Forbid
LB+data+data-rfi-data Forbid
LB+data+ctrl-rfi-data Forbid
LB+data+pos-data Forbid
LB+data+addr-pos-data Forbid
LB+data+ctrl-pos-data Forbid
LB+data+addr-data Forbid
LB+data+pos-addr-data Forbid
LB+data+ctrl-addr-data Forbid
LB+data+ctrl-data Forbid
LB+data+pos-ctrl-data Forbid
LB+data+addr-ctrl-data Forbid
LB+data+ctrl Forbid
LB+data+fri-rfi-ctrl Allow
LB+data+addr-rfi-ctrl Forbid
LB+data+data-rfi-ctrl Forbid
LB+data+ctrl-rfi-ctrl Forbid
LB+data+pos-ctrl Forbid
LB+data+addr-pos-ctrl Forbid
LB+data+ctrl-pos-ctrl Forbid
LB+data+addr-ctrl Forbid
LB+data+pos-addr-ctrl Forbid
LB+data+ctrl-addr-ctrl Forbid
LB+data+ctrl-ctrl Forbid
LB+data+pos-ctrl-ctrl Forbid
LB+data+addr-ctrl-ctrl Forbid
MP+po+ctrl Allow
S+po+addr Allow
S+po+ctrl Allow
LB+addr+po Allow
LB+ctrl+po Allow
LB+addr+ctrl Forbid
RWC+ctrl+po Allow
WRC+addr+ctrl Allow
WRC+addr+po Allow
WRC+ctrl+addr Forbid
WRC+ctrl+po Allow
WRC+ctrls Allow
WRC+data+ctrl Allow
WRC+po+ctrl Allow
WRR+2W+ctrl+po Allow
WRW+2W+addr+po Allow
WRW+2W+ctrl+po Allow
WRW+WR+addr+po Allow
WRW+WR+ctrl+po Allow
WWC+addr+ctrl Forbid
WWC+addr+data Forbid
WWC+addr+po Allow
WWC+addrs Forbid
WWC+ctrl+addr Forbid
WWC+ctrl+data Forbid
WWC+ctrl+po Allow
WWC+ctrls Forbid
WWC+data+addr Forbid
WWC+data+ctrl Forbid
WWC+po+addr Allow
WWC+po+ctrl Allow
3.LB+addr+addr+ctrl Forbid
3.LB+addr+addr+data Forbid
3.LB+addr+addr+po Allow
3.LB+addr+ctrl+ctrl Forbid
3.LB+addr+ctrl+data Forbid
3.LB+addr+ctrl+po Allow
3.LB+addr+data+ctrl Forbid
3.LB+addr+data+data Forbid
3.LB+addr+data+po Allow
3.LB+addr+po+ctrl Allow
3.LB+addr+po+data Allow
3.LB+addr+po+po Allow
3.LB+addrs Forbid
3.LB+ctrl+ctrl+po Allow
3.LB+ctrl+po+po Allow
3.LB+ctrls Forbid
3.LB+data+ctrl+ctrl Forbid
3.LB+data+ctrl+po Allow
3.LB+data+data+ctrl Forbid
3.LB+data+po+ctrl Allow
ISA2+po+addr+addr Allow
ISA2+po+addr+ctrl Allow
ISA2+po+addr+po Allow
ISA2+po+ctrl+addr Allow
ISA2+po+ctrl+ctrl Allow
ISA2+po+ctrl+po Allow
ISA2+po+data+ctrl Allow
ISA2+po+po+ctrl Allow
W+RWC+po+ctrl+po Allow
Z6.0+po+addr+po Allow
Z6.0+po+ctrl+po Allow
Z6.1+po+po+addr Allow
Z6.1+po+po+ctrl Allow
Z6.2+po+addr+addr Allow
Z6.2+po+addr+ctrl Allow
Z6.2+po+addr+data Allow
Z6.2+po+addr+po Allow
Z6.2+po+ctrl+addr Allow
